ville,slug,dept,dept_num,region,habitants_approx,contexte_local
Toulon,toulon,Var,83,Provence-Alpes-Côte d'Azur,plus de 175 000,"Toulon, ville portuaire aux reliefs marqués, concentre de nombreuses maisons de ville et immeubles anciens dans son centre historique et sur les hauteurs du Mourillon et du Cap Brun, avec des escaliers intérieurs souvent très raides. La forte proportion de retraités dans le Var en fait l'une des villes provençales les plus demandeuses en solutions d'adaptation du logement."
Saint-Étienne,saint-etienne,Loire,42,Auvergne-Rhône-Alpes,plus de 170 000,"Saint-Étienne possède un parc immobilier ancien constitué en grande partie de maisons ouvrières et d'immeubles du XIXe siècle dans les quartiers du Centre, Bergson et Bellevue, dont les escaliers intérieurs raides témoignent d'une époque où l'accessibilité n'était pas une priorité. La ville figure parmi celles qui comptent la plus forte proportion de seniors en Auvergne-Rhône-Alpes, créant une demande croissante pour les monte-escaliers."
Nîmes,nimes,Gard,30,Occitanie,plus de 150 000,"Nîmes, ville romaine aux nombreux monuments antiques, possède un centre historique dense avec ses maisons de pierre calcaire et des escaliers intérieurs caractéristiques, souvent très raides, dans les quartiers de l'Écusson et des Arènes. La demande en monte-escaliers y est en forte hausse, portée par un vieillissement de la population gardoise et le souhait de nombreux seniors de rester dans leurs logements traditionnels."
Dijon,dijon,Côte-d'Or,21,Bourgogne-Franche-Comté,plus de 155 000,"Dijon, capitale de la Bourgogne, regorge d'hôtels particuliers et de maisons bourgeoises dans son centre historique classé, notamment rue de la Liberté et dans le quartier des ducs, dont les escaliers intérieurs en pierre sont souvent très raides et peu praticables pour les personnes âgées. Avec une population senior importante et des logements anciens nombreux, Dijon concentre une forte demande en équipements d'accessibilité."
Angers,angers,Maine-et-Loire,49,Pays de la Loire,plus de 155 000,"Angers, ville d'art et d'histoire au cœur de la Vallée de la Loire, abrite de nombreuses maisons en tuffeau et en schiste ardoisier dans ses quartiers historiques comme la Doutre, la Cité et Saint-Laud, dont les escaliers intérieurs sont souvent très raides et étroits. La demande en monte-escaliers y est portée par un fort attachement des seniors angevins à leur logement et par la prévalence du parc immobilier ancien dans l'agglomération."
Clermont-Ferrand,clermont-ferrand,Puy-de-Dôme,63,Auvergne-Rhône-Alpes,plus de 145 000,"Clermont-Ferrand, bâtie sur les flancs d'anciens volcans, se distingue par son architecture en pierre de lave noire et par ses maisons à plusieurs niveaux dans les quartiers du Vieux-Clermont, Jaude et Montferrand, où les escaliers intérieurs sont souvent très raides du fait du relief. La ville et son agglomération comptent une population senior croissante, particulièrement attachée au maintien à domicile."
Le Havre,le-havre,Seine-Maritime,76,Normandie,plus de 170 000,"Le Havre alterne immeubles en béton de l'après-guerre et maisons traditionnelles normandes dans les quartiers périphériques, avec des escaliers intérieurs souvent peu adaptés aux personnes âgées. La forte population ouvrière vieillissante et l'important parc de logements anciens en font un marché prioritaire pour les monte-escaliers en Normandie."
Reims,reims,Marne,51,Grand Est,plus de 180 000,"Reims, capitale du Champagne et ville au riche patrimoine architectural, possède de nombreuses maisons bourgeoises et immeubles haussmanniens dans ses quartiers historiques de Clairmarais, Cernay et l'Hyper-Centre, dont les escaliers intérieurs en pierre sont souvent raides et peu adaptés à une mobilité réduite. La forte proportion de seniors dans la Marne et leur souhait de rester dans leurs maisons font de Reims un marché clé pour les équipements d'accessibilité."
Aix-en-Provence,aix-en-provence,Bouches-du-Rhône,13,Provence-Alpes-Côte d'Azur,plus de 145 000,"Aix-en-Provence, ville d'art et d'histoire à l'architecture baroque et provençale, regorge d'hôtels particuliers et de maisons de ville dans le Vieil Aix et le quartier Mazarin, dont les escaliers intérieurs en pierre sont souvent très raides et étroits. Avec l'une des plus fortes concentrations de retraités aisés de France et un parc immobilier ancien très dense, Aix est l'une des villes provençales les plus demandeuses en monte-escaliers."
Brest,brest,Finistère,29,Bretagne,plus de 140 000,"Brest, grande ville maritime du Finistère, alterne immeubles de la reconstruction d'après-guerre et maisons bretonnes plus anciennes dans ses quartiers périphériques comme Saint-Marc, Lambézellec et Bellevue, dont les escaliers intérieurs sont souvent peu adaptés au vieillissement. La Bretagne est l'une des régions françaises les plus touchées par le vieillissement de la population, faisant de Brest un marché prioritaire pour les solutions d'accessibilité à domicile."
Tours,tours,Indre-et-Loire,37,Centre-Val de Loire,plus de 135 000,"Tours, au cœur de la Vallée de la Loire classée au patrimoine mondial de l'UNESCO, possède de nombreuses maisons en tuffeau et en ardoise dans ses quartiers historiques de Vieux-Tours, Prébendes et Grammont, dont les escaliers intérieurs sont souvent très raides et étroits. La forte présence de retraités en Touraine et leur attachement à leurs demeures anciennes en font un marché porteur pour les monte-escaliers."
Limoges,limoges,Haute-Vienne,87,Nouvelle-Aquitaine,plus de 130 000,"Limoges, capitale mondiale de la porcelaine, possède un centre historique aux maisons en granit et en bois du Moyen Âge dans les quartiers de la Boucherie, de la Cathédrale et de la Cité, dont les escaliers intérieurs raides témoignent d'un bâti très ancien. La Haute-Vienne figure parmi les départements français les plus vieillissants, ce qui génère une demande croissante en équipements d'adaptation du logement comme le monte-escalier."
Perpignan,perpignan,Pyrénées-Orientales,66,Occitanie,plus de 120 000,"Perpignan, dernière ville catalane française, concentre un bâti ancien très dense dans son hypercentre, avec ses maisons catalanes aux escaliers intérieurs typiques, souvent raides et peu larges, dans les quartiers de la Loge de Mer, Saint-Jacques et Sant Joan. Les Pyrénées-Orientales accueillent une forte population de retraités venus profiter du soleil méditerranéen, créant une demande croissante pour les solutions d'accessibilité à domicile."
Amiens,amiens,Somme,80,Hauts-de-France,plus de 135 000,"Amiens, capitale de la Picardie, possède de nombreuses maisons en briques et des immeubles anciens dans ses quartiers du centre et de Saint-Leu, dont les escaliers intérieurs raides sont caractéristiques du bâti nordiste du XIXe et début XXe siècle. La Somme compte une proportion de seniors supérieure à la moyenne nationale, portant la demande en monte-escaliers dans une région où le maintien à domicile est une priorité."
Metz,metz,Moselle,57,Grand Est,plus de 115 000,"Metz, ville frontière aux influences françaises et allemandes, possède un patrimoine architectural exceptionnel avec son quartier impérial wilhelmien et ses maisons lorraines en pierre de Jaumont, dont les immeubles anciens abritent souvent des escaliers raides et mal adaptés à la mobilité réduite. La Moselle concentre une population senior importante et un parc de logements anciens très dense, créant une forte demande en équipements d'accessibilité."
